object_id,black,hispanic,white,asian
c:102912,0.0,1.0,0.0,0.0
c:102913,0.0,0.0,1.0,0.0
c:102915,0.0,0.0,1.0,0.0
c:10292,0.0,0.25,0.58,0.17
c:102922,0.0,0.0,0.86,0.14
c:10293,0.0,0.0,0.33,0.67
c:102936,0.0,0.0,1.0,0.0
c:10295,0.0,0.0,1.0,0.0
c:102952,0.0,0.0,1.0,0.0
c:10296,0.0,0.0,0.67,0.33
c:10298,0.0,0.0,1.0,0.0
c:103,0.06,0.06,0.88,0.0
c:10300,0.0,0.0,1.0,0.0
c:10301,0.0,0.0,1.0,0.0
c:103016,0.0,0.0,1.0,0.0
c:103029,0.0,0.0,1.0,0.0
c:10308,0.0,0.0,0.0,1.0
c:103084,0.0,0.0,0.0,1.0
c:103088,0.0,0.0,1.0,0.0
c:10309,0.05,0.05,0.86,0.05
c:10311,0.0,0.0,0.75,0.25
c:103118,0.0,0.0,1.0,0.0
c:10313,0.0,0.0,1.0,0.0
c:103155,0.0,0.0,1.0,0.0
c:10317,0.0,0.0,1.0,0.0
c:103181,0.0,0.0,1.0,0.0
c:103200,0.0,0.0,1.0,0.0
c:103204,0.0,0.0,1.0,0.0
c:103209,0.0,0.0,1.0,0.0
c:10322,0.0,0.0,1.0,0.0
c:10323,0.0,0.0,0.5,0.5
c:103233,0.0,0.0,0.75,0.25
c:10324,0.0,0.0,1.0,0.0
c:10325,0.0,0.0,1.0,0.0
c:10326,0.0,0.5,0.5,0.0
c:10329,0.0,0.0,1.0,0.0
c:103290,0.0,0.0,1.0,0.0
c:103292,0.0,0.0,0.88,0.12
c:10331,0.0,0.0,1.0,0.0
c:103323,0.0,0.0,1.0,0.0
c:103327,0.0,0.0,0.0,1.0
c:10333,0.0,0.67,0.33,0.0
c:103334,0.0,0.0,1.0,0.0
c:103343,0.0,0.0,1.0,0.0
c:10335,0.0,0.0,1.0,0.0
c:103358,0.0,0.0,1.0,0.0
c:10336,0.0,0.0,1.0,0.0
c:10337,0.0,0.0,1.0,0.0
c:103370,0.0,0.0,1.0,0.0
c:10338,0.11,0.0,0.89,0.0
c:103388,0.0,0.0,1.0,0.0
c:103390,0.0,0.0,1.0,0.0
c:10340,0.0,0.0,1.0,0.0
c:10341,0.0,0.0,0.75,0.25
c:103414,0.0,0.0,1.0,0.0
c:103416,0.0,0.5,0.5,0.0
c:10343,0.0,0.0,1.0,0.0
c:103430,0.0,0.0,1.0,0.0
c:103432,0.0,0.0,1.0,0.0
c:103447,0.0,0.0,0.75,0.25
c:103458,0.0,0.0,0.67,0.33
c:10346,0.0,0.5,0.5,0.0
c:103470,0.0,0.0,1.0,0.0
c:10348,0.0,0.0,1.0,0.0
c:103482,0.0,0.0,1.0,0.0
c:103487,0.0,0.0,1.0,0.0
c:1035,0.0,0.0,1.0,0.0
c:10351,0.0,0.0,1.0,0.0
c:10352,0.0,0.0,1.0,0.0
c:103522,0.0,0.0,1.0,0.0
c:10353,0.0,0.0,1.0,0.0
c:10354,0.2,0.0,0.8,0.0
c:10355,0.0,0.0,1.0,0.0
c:10356,0.0,0.0,1.0,0.0
c:103561,0.0,0.0,0.5,0.5
c:103567,0.0,0.0,1.0,0.0
c:1036,0.0,0.0,1.0,0.0
c:10361,0.0,0.0,1.0,0.0
c:103641,0.0,0.0,1.0,0.0
c:10365,0.0,0.0,1.0,0.0
c:103677,0.0,0.0,1.0,0.0
c:103681,0.0,0.0,1.0,0.0
c:103683,0.0,0.0,1.0,0.0
c:10369,0.0,0.0,1.0,0.0
c:103690,0.0,0.0,1.0,0.0
c:103697,0.0,0.0,1.0,0.0
c:10371,0.0,0.0,1.0,0.0
c:103725,0.0,0.0,1.0,0.0
c:103738,0.0,0.0,1.0,0.0
c:103743,0.0,0.0,1.0,0.0
c:103751,0.0,0.0,1.0,0.0
c:10376,0.0,0.07,0.93,0.0
c:103764,0.0,0.0,1.0,0.0
c:10378,0.0,0.5,0.5,0.0
c:103787,0.0,0.0,1.0,0.0
c:10379,0.0,0.0,1.0,0.0
c:103791,0.0,0.0,1.0,0.0
c:1038,0.07,0.03,0.79,0.1
c:10381,0.0,0.0,1.0,0.0
c:103819,0.0,0.0,1.0,0.0
c:103820,0.0,0.0,1.0,0.0
c:103824,0.0,0.0,0.0,1.0
c:10384,0.0,1.0,0.0,0.0
c:10385,0.0,0.0,1.0,0.0
c:103853,0.0,0.0,1.0,0.0
c:103857,0.0,0.0,0.0,1.0
c:10386,0.0,0.0,1.0,0.0
c:10387,0.0,0.0,1.0,0.0
c:10388,0.0,0.0,1.0,0.0
c:103885,0.0,0.0,1.0,0.0
c:103892,0.0,0.0,1.0,0.0
c:103901,0.0,0.0,1.0,0.0
c:103903,0.0,0.0,1.0,0.0
c:10392,0.0,0.0,1.0,0.0
c:10393,0.0,0.0,1.0,0.0
c:103933,0.0,1.0,0.0,0.0
c:103935,0.0,0.0,1.0,0.0
c:103948,0.0,0.0,1.0,0.0
c:10395,0.0,0.0,0.67,0.33
c:10396,0.0,0.0,1.0,0.0
c:103965,0.0,0.0,1.0,0.0
c:103973,0.0,0.0,1.0,0.0
c:10398,0.0,0.1,0.9,0.0
c:103981,0.0,0.0,1.0,0.0
c:10399,0.0,0.0,1.0,0.0
c:103994,0.0,0.0,1.0,0.0
c:103995,0.0,0.0,1.0,0.0
c:103996,0.0,0.0,1.0,0.0
c:103997,0.0,0.0,1.0,0.0
c:104,0.0,0.0,1.0,0.0
c:10400,0.0,0.0,1.0,0.0
c:104004,0.0,0.0,1.0,0.0
c:104010,0.0,0.0,1.0,0.0
c:104013,0.0,0.0,1.0,0.0
c:104015,0.0,0.0,0.83,0.17
c:104016,0.0,0.0,1.0,0.0
c:104020,0.0,0.0,1.0,0.0
c:104032,0.0,0.0,1.0,0.0
c:104036,0.0,0.0,1.0,0.0
c:104048,0.0,1.0,0.0,0.0
c:104057,0.0,0.0,1.0,0.0
c:104059,0.0,0.0,1.0,0.0
c:104062,0.0,0.25,0.75,0.0
c:104068,0.0,0.14,0.86,0.0
c:104071,0.0,0.0,1.0,0.0
c:104083,0.0,0.0,1.0,0.0
c:10409,0.0,0.0,1.0,0.0
c:104093,0.0,0.0,1.0,0.0
c:1041,0.0,0.0,0.0,1.0
c:10410,0.0,0.0,1.0,0.0
c:104103,0.0,0.0,1.0,0.0
c:104118,0.0,0.0,1.0,0.0
c:104119,0.0,0.0,1.0,0.0
c:104124,0.0,0.0,1.0,0.0
c:104126,0.0,0.0,1.0,0.0
c:10413,0.0,0.0,1.0,0.0
c:104132,0.0,0.2,0.2,0.6
c:104138,0.0,0.0,1.0,0.0
c:104140,0.0,0.17,0.67,0.17
c:104141,0.0,0.0,1.0,0.0
c:10415,0.0,0.0,1.0,0.0
c:104151,0.0,0.0,1.0,0.0
c:10416,0.0,0.0,0.5,0.5
c:104160,0.0,0.0,0.5,0.5
c:104163,0.0,0.0,0.6,0.4
c:104166,0.0,0.0,1.0,0.0
c:10417,0.0,0.0,0.5,0.5
c:10419,0.0,0.5,0.5,0.0
c:104191,0.0,0.0,1.0,0.0
c:104193,0.0,0.0,1.0,0.0
c:104194,0.0,0.0,1.0,0.0
c:104196,0.0,0.0,1.0,0.0
c:104198,0.0,0.0,1.0,0.0
c:1042,0.17,0.0,0.83,0.0
c:10420,0.0,0.0,1.0,0.0
